runID,conditionID,renderGeneration,labelID,text,stringLength,containerWidth,dynamicTypeSize,minimumScaleFactor,lineLimit,incomingProposalWidth,incomingProposalHeight,childProposalWidth,childProposalHeight,measuredWidth,measuredHeight,idealWidth,idealHeight,zeroWidth,zeroHeight,infinityWidth,infinityHeight,finalWidth,finalHeight,actualGlyphScale
threshold,240-none-large,0,,Morning Interval Training Session,33,240.0,large,none,1,240.0,0.0,240.0,0.0,237.33333333333331,20.333333333333332,264.3333333333333,20.333333333333332,0.0,0.0,264.3333333333333,20.333333333333332,237.33333333333331,20.333333333333332,unavailable
threshold,240-none-xxxLarge,0,,Morning Interval Training Session,33,240.0,xxxLarge,none,1,240.0,0.0,240.0,0.0,230.0,27.666666666666664,345.66666666666663,27.666666666666664,0.0,0.0,345.66666666666663,27.666666666666664,230.0,27.666666666666664,unavailable
threshold,240-none-accessibility1,0,,Morning Interval Training Session,33,240.0,accessibility1,none,1,240.0,0.0,240.0,0.0,225.33333333333331,33.666666666666664,421.0,33.666666666666664,0.0,0.0,421.0,33.666666666666664,225.33333333333331,33.666666666666664,unavailable
threshold,240-none-accessibility3,0,,Morning Interval Training Session,33,240.0,accessibility3,none,1,240.0,0.0,240.0,0.0,230.66666666666666,48.0,595.6666666666666,48.0,0.0,0.0,595.6666666666666,48.0,230.66666666666666,48.0,unavailable
threshold,240-none-accessibility5,0,,Morning Interval Training Session,33,240.0,accessibility5,none,1,240.0,0.0,240.0,0.0,231.66666666666666,63.33333333333333,783.0,63.33333333333333,0.0,0.0,783.0,63.33333333333333,231.66666666666666,63.33333333333333,unavailable
threshold,240-0.8-large,0,,Morning Interval Training Session,33,240.0,large,0.8,1,240.0,0.0,240.0,0.0,217.66666666666666,16.333333333333332,264.3333333333333,20.333333333333332,0.0,0.0,264.3333333333333,20.333333333333332,217.66666666666666,16.333333333333332,unavailable
threshold,240-0.8-xxxLarge,0,,Morning Interval Training Session,33,240.0,xxxLarge,0.8,1,240.0,0.0,240.0,0.0,230.33333333333331,22.333333333333332,345.66666666666663,27.666666666666664,0.0,0.0,345.66666666666663,27.666666666666664,230.33333333333331,22.333333333333332,unavailable
threshold,240-0.8-accessibility1,0,,Morning Interval Training Session,33,240.0,accessibility1,0.8,1,240.0,0.0,240.0,0.0,238.33333333333331,27.0,421.0,33.666666666666664,0.0,0.0,421.0,33.666666666666664,238.33333333333331,27.0,unavailable
threshold,240-0.8-accessibility3,0,,Morning Interval Training Session,33,240.0,accessibility3,0.8,1,240.0,0.0,240.0,0.0,232.0,38.33333333333333,595.6666666666666,48.0,0.0,0.0,595.6666666666666,48.0,232.0,38.33333333333333,unavailable
threshold,240-0.8-accessibility5,0,,Morning Interval Training Session,33,240.0,accessibility5,0.8,1,240.0,0.0,240.0,0.0,230.33333333333331,51.0,783.0,63.33333333333333,0.0,0.0,783.0,63.33333333333333,230.33333333333331,51.0,unavailable
